ID,Q201601_MILES,Q201601_SPONSORS,Q201602_MILES,Q201602_SPONSORS,Q201603_MILES,Q201603_SPONSORS,Q201604_MILES,Q201604_SPONSORS,FLAG,MILES201601GROCERY,MILES201602GROCERY,MILES201603GROCERY,MILES201604GROCERY,MILES201601CREDIT_CARD,MILES201602CREDIT_CARD,MILES201603CREDIT_CARD,MILES201604CREDIT_CARD,MILES201601OTHER,MILES201602OTHER,MILES201603OTHER,MILES201604OTHER,PROGRAM_TIER,PROVINCE,EMAIL_OPTIN,DEC_2016_ACCOUNT_BALANCE
12976,36,1,68,1,51,1,58,2,0,36,68,51,57,0,0,0,0,0,0,0,1,B,QC,N,259
12977,76,2,69,3,74,3,48,2,0,68,56,63,42,0,0,0,0,8,13,11,6,B,QC,N,673
12978,12,2,29,3,26,3,17,2,0,10,9,14,10,0,0,0,0,2,20,12,7,B,QC,N,1384
12980,46,3,18,4,33,4,23,4,1,25,6,2,17,0,0,0,0,21,12,31,6,B,QC,N,3059
12981,49,3,48,4,18,2,49,3,1,0,19,10,9,0,0,0,0,49,29,8,40,B,QC,Y,153
12982,68,1,51,1,18,1,19,2,1,0,0,0,1,0,0,0,0,68,51,18,18,B,QC,Y,676
12983,60,3,54,4,47,4,51,4,0,49,44,39,32,0,0,0,0,11,10,8,19,B,QC,Y,46
12984,431,5,507,4,579,5,551,4,0,64,66,68,63,354,431,498,485,13,10,13,3,G,QC,Y,153
12985,31,2,56,5,27,4,30,4,0,30,22,14,25,0,3,0,0,1,31,13,5,B,QC,N,55
12986,16,1,13,1,21,1,12,2,1,16,13,21,9,0,0,0,0,0,0,0,3,B,QC,N,660
12987,56,5,40,3,24,1,27,1,0,34,38,24,27,0,0,0,0,22,2,0,0,B,QC,N,1778
12988,91,4,193,1,98,3,46,1,0,11,0,23,0,76,193,72,46,4,0,3,0,G,QC,Y,5715
12989,297,5,2440,5,875,4,1418,5,0,2,18,17,16,287,2389,848,1368,8,33,10,34,G,QC,N,2598
12990,20,3,51,1,41,2,41,2,0,17,51,40,37,0,0,0,0,3,0,1,4,B,QC,N,675
12991,213,4,204,5,182,4,179,4,0,173,138,139,151,0,0,0,0,40,66,43,28,G,QC,N,1109
12992,26,4,19,3,25,3,51,4,0,23,16,15,38,0,0,0,0,3,3,10,13,B,QC,N,55
12993,69,2,34,3,30,2,33,1,1,47,2,21,0,0,0,0,0,22,32,9,33,B,QC,N,3011
12994,55,3,73,3,61,2,49,2,0,45,60,43,44,0,0,0,0,10,13,18,5,B,QC,N,2886
12996,98,2,123,5,23,3,55,3,0,98,110,21,53,0,0,0,0,0,13,2,2,G,BC,Y,6327
12998,20,2,25,1,21,1,54,2,0,20,25,21,50,0,0,0,0,0,0,0,4,G,AB,Y,990
12999,75,3,32,2,37,6,22,3,1,7,10,2,1,0,0,0,0,68,22,35,21,B,BC,Y,1520
13000,109,2,148,3,151,2,88,3,0,0,2,0,2,109,146,151,86,0,0,0,0,B,BC,N,11690
13001,133,2,105,3,165,2,35,2,0,0,0,0,0,124,98,158,26,9,7,7,9,B,BC,N,9243
13002,78,5,83,4,48,4,72,4,0,66,73,38,63,0,0,0,0,12,10,10,9,G,ON,N,2830
13005,32,4,34,3,37,4,60,2,0,16,33,34,60,0,0,0,0,16,1,3,0,B,AB,Y,3171
13007,2468,7,4881,4,4650,7,2990,3,0,21,19,12,16,2435,4861,4632,2974,12,1,6,0,O,BC,N,20010
13008,1277,3,1906,6,2918,7,1322,6,0,0,34,52,31,296,877,1854,299,981,995,1012,992,O,?,Y,12846
13009,30,1,164,1,37,3,28,1,1,30,164,35,28,0,0,0,0,0,0,2,0,B,BC,Y,3978
13010,24,5,29,5,21,4,33,4,0,2,6,5,14,0,0,0,0,22,23,16,19,B,BC,Y,322
13013,30,1,56,4,38,4,32,2,0,0,1,8,2,0,0,0,0,30,55,30,30,B,ON,N,6194
13014,61,7,34,3,80,4,88,4,0,3,10,25,7,0,0,0,0,58,24,55,81,B,BC,Y,1659
13015,18,4,46,4,58,4,36,5,0,6,17,16,19,0,0,0,0,12,29,42,17,B,MB,Y,376
13016,20,2,23,4,19,2,22,3,0,2,3,1,3,0,0,0,0,18,20,18,19,B,ON,N,556
13017,58,7,56,5,48,5,43,4,1,42,23,24,31,0,0,0,0,16,33,24,12,G,NS,Y,771
13018,75,2,77,5,130,3,184,4,0,21,11,6,39,54,59,124,140,0,7,0,5,B,ON,N,2071
13019,729,5,680,5,1187,3,1023,3,0,97,107,139,207,578,545,1032,798,54,28,16,18,G,BC,Y,2951
13020,35,1,115,6,66,4,58,6,0,0,0,1,1,0,0,0,0,35,115,65,57,B,ON,Y,237
13023,404,5,469,5,635,3,337,5,0,2,4,1,2,380,439,620,314,22,26,14,21,G,SK,Y,7948
13024,26,1,11,1,12,1,30,1,0,0,0,0,0,0,0,0,0,26,11,12,30,B,ON,N,601
13025,12,1,46,2,29,2,24,1,0,12,45,28,24,0,0,0,0,0,1,1,0,B,BC,Y,416
13027,67,3,218,7,108,4,91,8,0,27,27,10,14,33,62,60,52,7,129,38,25,G,AB,Y,4725
13028,223,5,126,6,425,6,200,6,1,43,45,31,62,168,69,346,111,12,12,48,27,G,SK,Y,8889
13029,38,2,1047,5,40,3,46,4,0,28,36,28,34,0,0,0,0,10,1011,12,12,G,BC,Y,5637
13030,885,1,1566,1,1101,2,1035,1,0,0,0,0,0,885,1566,1100,1035,0,0,1,0,G,BC,N,5234
13031,23,1,16,1,12,1,23,1,1,23,16,12,23,0,0,0,0,0,0,0,0,B,BC,Y,5034
13032,63,3,19,2,23,2,24,2,1,60,18,21,20,0,0,0,0,3,1,2,4,B,BC,Y,1247
13033,21,1,93,2,24,3,31,3,0,0,0,1,3,0,0,0,0,21,93,23,28,B,ON,Y,2241
13034,202,4,153,2,67,3,22,3,1,32,0,0,0,161,147,65,19,9,6,2,3,B,BC,N,3381
13036,21,2,14,1,72,2,24,3,1,19,14,6,16,0,0,0,0,2,0,66,8,B,AB,Y,1386
13037,17,4,51,4,24,5,11,3,0,1,1,1,0,0,0,0,0,16,50,23,11,B,BC,Y,510
13038,47,2,83,3,77,2,52,4,0,3,1,6,1,44,78,71,50,0,4,0,1,B,BC,N,5354
13041,219,2,292,1,239,2,237,1,0,0,0,0,0,218,292,236,237,1,0,3,0,G,BC,Y,930
13042,115,2,209,2,133,2,150,2,0,0,0,1,0,110,207,132,149,5,2,0,1,B,BC,Y,1494
13043,54,4,68,2,58,2,60,3,0,48,58,57,56,0,0,0,0,6,10,1,4,B,QC,N,925
13044,80,4,66,3,77,3,45,3,1,54,39,37,42,17,27,40,3,9,0,0,0,G,BC,Y,9415
13045,809,2,1244,2,912,2,937,2,0,0,0,0,0,772,1226,895,922,37,18,17,15,G,BC,Y,15845
13046,240,3,538,2,357,2,110,3,1,2,0,0,2,236,477,329,108,2,61,28,0,G,BC,Y,3135
13047,159,1,168,1,112,1,105,4,0,0,0,0,2,159,168,112,101,0,0,0,2,B,AB,N,4781
13048,1083,3,822,4,723,3,506,3,0,0,0,0,0,1082,818,721,505,1,4,2,1,G,AB,Y,11032
13049,588,4,440,6,433,5,391,4,0,89,85,94,84,479,341,325,296,20,14,14,11,G,AB,N,863
13050,134,3,622,2,90,2,101,2,1,3,0,0,5,131,618,88,96,0,4,2,0,B,AB,N,5311
13051,845,4,472,4,521,5,658,3,0,67,84,79,75,777,387,390,580,1,1,52,3,G,SK,Y,4003
13052,24,2,89,7,144,4,103,3,0,23,35,32,45,0,0,0,0,1,54,112,58,B,AB,Y,5108
13055,29,2,31,2,47,2,44,2,0,0,0,0,0,0,0,0,0,29,31,47,44,B,ON,N,1896
13057,448,2,615,10,267,9,276,8,1,0,11,3,7,448,555,208,224,0,49,56,45,G,AB,Y,10032
13058,42,2,41,2,54,1,27,2,0,0,0,0,0,0,0,0,3,42,41,54,24,B,BC,Y,2188
13059,743,4,1097,5,1080,3,794,3,0,0,0,0,1,739,1003,1070,787,4,94,10,6,G,?,N,4226
13061,1160,4,1206,6,641,7,388,4,1,92,111,36,35,973,1041,574,336,95,54,31,17,G,AB,N,44663
13062,24,4,23,3,29,3,32,2,0,3,2,1,1,0,0,0,0,21,21,28,31,B,ON,N,1673
13064,345,7,173,6,183,5,198,4,0,4,10,6,15,207,127,109,136,134,36,68,47,G,AB,N,4129
13065,18,1,142,2,106,5,27,4,0,18,139,32,23,0,0,0,0,0,3,74,4,G,AB,Y,5396
13069,119,1,53,2,114,2,71,1,0,0,0,2,0,119,50,112,71,0,3,0,0,B,AB,N,16802
13070,35,3,33,3,38,3,33,3,1,31,21,26,20,0,0,0,0,4,12,12,13,B,BC,N,791
13071,53,5,47,3,38,3,19,2,0,35,41,32,11,0,0,0,0,18,6,6,8,B,AB,Y,2741
13072,150,1,57,1,77,1,69,1,1,150,57,77,69,0,0,0,0,0,0,0,0,G,BC,Y,7567
13074,238,2,97,3,53,3,56,2,0,5,1,6,1,233,94,46,55,0,2,1,0,B,BC,Y,1884
13075,21,3,13,3,16,1,24,1,0,21,12,16,24,0,0,0,0,0,1,0,0,B,AB,N,6277
13076,12,1,34,4,163,6,773,5,0,12,30,23,45,0,0,125,713,0,4,15,15,G,NL,Y,1944
13077,12,2,12,3,25,3,15,2,0,0,0,0,0,0,0,0,0,12,12,25,15,B,NS,N,545
13078,226,6,132,4,175,6,278,7,0,64,30,32,54,0,0,0,0,162,102,143,224,G,AB,N,411
13079,121,4,120,5,92,5,90,3,0,116,109,88,83,0,0,0,0,5,11,4,7,G,AB,N,8351
13080,15,2,57,3,75,2,117,1,1,15,5,7,0,0,51,68,117,0,1,0,0,G,AB,N,215
13081,76,2,106,2,87,1,298,3,0,75,104,87,91,0,0,0,0,1,2,0,207,G,AB,N,15605
13082,2945,8,3550,6,2581,7,3336,5,0,6,12,12,11,2886,3530,2556,3302,53,8,13,23,O,AB,Y,47611
13084,89,4,62,2,80,3,52,2,1,80,61,62,50,0,0,0,0,9,1,18,2,B,BC,Y,11164
13085,40,3,39,4,32,5,53,4,0,20,18,18,39,0,0,0,0,20,21,14,14,B,NS,N,1499
13086,113,5,59,4,28,3,50,3,1,48,23,12,35,0,0,0,0,65,36,16,15,G,BC,Y,1444
13087,454,4,465,6,693,7,707,5,0,41,39,43,56,375,405,611,622,38,21,39,29,G,BC,N,13588
13089,193,4,215,5,259,3,180,3,0,22,11,7,11,168,192,243,168,3,12,9,1,G,AB,Y,8292
13091,289,5,735,4,282,3,165,4,0,2,6,9,1,245,697,260,154,42,32,13,10,G,SK,Y,9100
13092,188,6,431,4,629,3,700,3,0,0,81,1,1,69,229,513,579,119,121,115,120,G,AB,Y,3128
13093,37,1,26,2,20,1,90,2,0,37,25,20,48,0,0,0,0,0,1,0,42,B,AB,Y,403
13094,27,3,64,2,37,2,36,1,0,24,61,36,36,0,0,0,0,3,3,1,0,B,BC,N,1244
13095,198,3,202,4,1740,4,8418,4,0,0,0,0,2,102,83,865,7329,96,119,875,1087,O,BC,Y,18336
13098,14,2,14,3,14,3,18,4,0,0,0,0,0,0,0,0,0,14,14,14,18,G,BC,Y,4893
13099,347,3,253,3,114,3,152,8,1,339,252,108,104,0,0,0,0,8,1,6,48,G,SK,Y,313
13100,33,2,33,2,37,2,19,1,1,33,33,37,19,0,0,0,0,0,0,0,0,B,AB,N,15109
13101,37,3,53,2,20,2,26,2,0,35,53,18,25,0,0,0,0,2,0,2,1,B,BC,N,5107
13103,152,4,262,4,65,4,26,4,1,141,246,19,12,0,12,0,0,11,4,46,14,G,AB,Y,2996
13104,206,3,140,6,205,8,154,4,0,15,33,27,30,147,73,115,97,44,34,63,27,G,AB,Y,8879
13105,14,5,26,5,29,3,42,2,0,0,3,0,0,0,0,0,0,14,23,29,42,B,QC,N,2651
13106,34,3,53,4,39,3,23,4,0,25,40,20,10,0,0,0,0,9,13,19,13,B,QC,N,72
13107,14,3,67,4,11,2,16,1,0,10,13,10,16,0,0,0,0,4,54,1,0,B,BC,N,73
13108,292,3,39,6,13,2,12,3,1,0,1,0,0,291,30,0,0,1,8,13,12,B,ON,Y,3246
13109,58,2,71,2,67,4,64,2,0,0,0,0,0,0,0,0,0,58,71,67,64,B,ON,N,4009
13111,2397,4,658,4,3133,4,3678,5,1,0,1,4,2,2387,646,3114,3635,10,11,15,41,O,ON,Y,31608
13112,33,3,646,3,32,4,36,4,0,0,0,16,1,0,0,0,0,33,646,16,35,B,ON,Y,592
13114,88,7,93,5,190,6,226,6,0,5,9,9,15,55,32,22,95,28,52,159,116,B,ON,Y,6805
13117,341,6,285,5,640,6,1535,6,0,10,4,3,11,275,262,575,1498,56,19,62,26,G,ON,Y,827
13118,42,3,52,3,49,4,77,5,0,10,13,11,20,0,0,0,0,32,39,38,57,B,ON,N,5386
13119,56,4,107,5,38,3,18,4,0,14,3,7,8,0,21,0,0,42,83,31,10,B,ON,N,64
13121,28,1,21,1,44,3,41,2,0,0,0,0,2,0,0,0,0,28,21,44,39,B,ON,Y,1880
13122,12,1,23,2,19,3,22,2,0,0,11,7,7,0,0,0,0,12,12,12,15,B,ON,N,2470
13123,21,2,56,3,47,3,35,3,0,0,7,8,4,0,0,0,0,21,49,39,31,B,ON,Y,5739
13124,165,3,179,3,142,2,189,3,0,13,11,3,11,152,167,139,178,0,1,0,0,G,SK,Y,482
13126,27,5,34,2,27,2,63,4,0,13,21,24,27,0,0,0,0,14,13,3,36,B,SK,N,3695
13129,229,3,265,5,362,3,312,5,0,48,45,43,46,180,211,316,228,1,9,3,38,G,AB,Y,156
13130,143,4,141,4,71,4,88,5,1,133,126,58,63,0,0,0,0,10,15,13,25,G,SK,Y,10418
13131,29,2,21,5,24,3,49,4,0,15,3,5,6,0,0,0,0,14,18,19,43,G,AB,Y,710
13133,24,1,26,1,25,2,31,1,0,24,26,24,31,0,0,0,0,0,0,1,0,B,AB,N,197
13134,45,3,19,3,14,3,35,3,0,41,18,13,29,0,0,0,0,4,1,1,6,B,AB,N,2212
13135,540,8,54,7,72,6,88,7,1,507,15,28,25,0,0,0,0,33,39,44,63,G,AB,Y,1584
13136,135,3,54,2,51,2,55,2,1,2,8,7,4,0,0,0,0,133,46,44,51,B,AB,N,2832
13137,23,5,38,4,34,3,14,3,0,18,34,25,13,0,0,0,0,5,4,9,1,B,AB,Y,291
13138,470,3,561,4,352,5,158,2,0,39,11,35,38,429,549,314,120,2,1,3,0,G,BC,Y,4903
13139,79,5,108,6,182,8,39,2,1,49,72,142,38,0,0,0,0,30,36,40,1,G,AB,N,9398
13140,92,3,102,2,555,3,81,4,0,8,0,10,23,0,79,523,35,84,23,22,23,G,AB,Y,1653
13141,27,3,19,3,16,2,25,4,0,24,13,14,16,0,0,0,0,3,6,2,9,B,AB,Y,521
13143,686,4,612,5,209,5,113,4,1,5,3,42,13,647,552,145,69,34,57,22,31,G,BC,N,15418
13144,121,3,44,4,141,4,64,5,1,33,22,34,28,0,0,0,0,88,22,107,36,B,AB,Y,3325
13145,28,2,19,1,14,2,23,3,0,1,0,0,0,0,0,0,0,27,19,14,23,B,BC,Y,5443
13148,16,2,23,2,11,2,33,1,1,12,19,10,33,0,0,0,0,4,4,1,0,B,AB,N,2886
13149,14,5,11,4,12,4,47,5,0,7,9,7,33,0,0,0,0,7,2,5,14,B,AB,Y,139
13151,13,1,19,1,28,1,17,2,0,13,19,28,16,0,0,0,0,0,0,0,1,B,AB,N,840
13154,540,4,545,4,417,5,403,6,0,112,111,91,93,421,427,322,287,7,7,4,23,G,MB,N,506
13155,121,6,163,7,142,5,184,7,0,95,99,79,78,0,0,0,0,26,64,63,106,G,AB,Y,842
13156,102,7,199,6,106,5,80,4,0,49,31,20,35,0,0,0,0,53,168,86,45,G,AB,Y,6304
13157,89,3,59,3,126,3,80,3,1,14,14,7,2,73,42,117,76,2,3,2,2,G,SK,Y,4060
13158,54,3,53,4,34,3,37,4,0,52,43,31,36,0,0,0,0,2,10,3,1,B,AB,Y,2091
13159,93,4,91,4,96,4,94,4,0,81,75,81,64,0,0,0,0,12,16,15,30,B,MB,N,13029
13164,26,1,22,3,34,1,26,1,0,26,19,34,26,0,0,0,0,0,3,0,0,B,ON,N,1293
13167,400,7,357,8,679,8,474,8,0,18,15,53,46,340,296,579,395,42,46,47,33,G,MB,N,9057
13168,119,2,275,1,260,2,637,5,0,1,0,0,3,118,275,259,620,0,0,1,14,G,BC,Y,5995
13169,360,2,421,3,123,3,232,3,0,237,290,124,182,123,122,-3,47,0,9,2,3,G,BC,Y,17028
13171,291,3,224,3,268,3,330,4,0,23,19,30,35,267,202,233,293,1,3,5,2,G,?,N,2712
13173,48,5,15,3,30,4,46,5,1,25,13,5,4,0,0,0,0,23,2,25,42,B,SK,Y,2170
13174,41,4,29,3,63,5,62,3,0,1,0,0,0,38,20,0,15,2,9,63,47,B,SK,Y,1842
13175,461,5,1336,5,728,6,611,4,0,14,22,67,7,423,1246,633,498,24,68,28,106,G,AB,N,41518
13176,30,3,110,3,352,3,27,2,1,7,26,22,4,23,83,328,23,0,1,2,0,G,AB,N,4105
13177,24,3,24,3,13,3,18,3,0,9,9,6,6,0,0,0,0,15,15,7,12,B,AB,N,1702
13178,69,5,69,6,70,4,58,4,0,65,61,66,53,0,0,0,0,4,8,4,5,G,MB,N,941
13181,143,6,80,5,142,6,125,5,1,132,42,37,25,0,0,0,0,11,38,105,100,G,MB,Y,3817
13183,116,2,53,3,34,4,24,4,1,114,33,11,0,0,0,0,0,2,20,23,24,B,BC,N,1714
13184,29,3,44,3,57,4,60,4,0,20,34,35,35,0,0,0,0,9,10,22,25,B,BC,N,10945
13185,60,2,18,3,12,3,12,1,1,0,0,0,0,0,0,0,0,60,18,12,12,B,BC,Y,446
13186,188,5,192,5,119,3,167,2,0,180,178,113,164,0,0,0,0,8,14,6,3,G,AB,Y,20423
13187,14,3,23,4,50,5,35,3,0,10,10,6,13,0,0,0,0,4,13,44,22,B,AB,N,714
13189,59,4,65,4,83,5,62,3,0,13,21,23,4,0,0,0,0,46,44,60,58,B,ON,Y,3279
13192,57,3,40,2,64,3,81,3,0,1,0,3,1,0,0,0,0,56,40,61,80,B,ON,Y,7768
13195,82,4,87,5,75,3,98,3,0,76,78,71,93,0,0,0,0,6,9,4,5,B,QC,Y,887
13196,78,3,105,3,86,4,135,4,0,60,74,64,54,0,0,0,0,18,31,22,81,B,QC,N,101
13197,15,3,14,2,18,4,13,5,1,1,0,0,3,0,0,0,0,14,14,18,10,B,PE,N,649
13199,45,5,60,4,67,4,34,5,0,8,1,1,2,0,0,0,0,37,59,66,32,B,PE,Y,905
13200,81,5,86,4,102,5,153,5,0,61,50,68,100,0,0,0,0,20,36,34,53,G,NS,N,3304
13201,118,4,112,3,93,4,116,4,0,79,73,53,73,0,0,0,0,39,39,40,43,B,PE,N,1237
13202,334,6,387,4,371,4,448,5,0,77,92,96,74,228,273,240,310,29,22,35,64,G,?,N,4530
13203,15,2,12,1,24,1,42,2,0,14,12,24,39,0,0,0,0,1,0,0,3,B,NS,Y,403
13204,227,6,247,6,258,8,509,7,0,1,10,7,30,187,220,241,466,39,17,10,13,G,NS,N,355
13205,21,3,12,4,17,4,17,5,0,14,7,14,8,0,0,0,0,7,5,3,9,B,NB,N,1659
13207,35,7,16,4,44,5,23,6,1,0,0,8,2,0,0,0,0,35,16,36,21,B,NS,Y,2805
13208,37,4,43,5,39,5,48,4,0,21,22,15,29,0,0,0,0,16,21,24,19,B,NS,N,1035
13209,52,5,79,5,53,4,39,4,0,31,31,33,25,11,36,8,4,10,12,12,10,B,NS,Y,1016
13210,114,6,194,7,271,9,200,8,0,18,15,36,24,0,51,114,6,96,128,121,170,G,NS,N,3373
13211,117,1,96,2,120,3,128,3,0,117,93,109,123,0,0,0,0,0,3,11,5,B,NS,N,3827
13213,102,5,49,6,22,5,59,6,1,10,2,1,9,53,5,0,0,39,42,21,50,B,NS,Y,1922
13214,26,2,36,4,40,4,29,3,0,11,12,20,17,0,0,0,0,15,24,20,12,B,NS,N,117
13215,171,3,483,4,401,4,641,4,0,18,48,30,5,138,422,367,621,15,13,4,15,G,NS,N,15483
13216,28,2,23,3,16,2,24,3,1,10,13,12,13,0,0,0,0,18,10,4,11,B,NS,Y,2733
13218,33,4,48,4,36,4,27,4,0,21,24,29,14,0,0,0,0,12,24,7,13,B,PE,N,365
13219,35,3,24,2,19,3,39,3,0,1,4,4,8,0,0,0,0,34,20,15,31,B,NS,Y,175
13220,70,5,74,5,87,6,48,5,0,60,43,52,37,0,0,0,0,10,31,35,11,B,NS,Y,1783
13223,96,5,62,4,91,4,78,5,0,63,46,60,47,0,0,0,0,33,16,31,31,B,NS,Y,381
13224,31,2,50,3,39,4,51,5,0,3,3,1,8,0,0,0,0,28,47,38,43,B,NB,N,670
13225,75,4,53,3,50,3,63,4,0,9,0,6,11,0,0,0,0,66,53,44,52,B,NS,N,282
13226,66,4,102,5,65,3,55,5,0,37,48,38,43,0,0,0,0,29,54,27,12,B,PE,N,2833
13229,22,4,65,6,53,6,47,4,0,9,20,28,24,0,0,0,0,13,45,25,23,B,NS,Y,2876
13230,84,3,116,4,102,3,91,4,0,33,48,39,44,0,0,0,0,51,68,63,47,B,NS,Y,104
13231,42,2,29,3,21,2,43,3,0,10,5,7,11,0,0,0,0,32,24,14,32,B,NS,N,303
13232,60,5,92,5,66,4,80,5,0,11,22,30,34,0,1,0,4,49,69,36,42,G,NS,N,49
13233,183,5,206,4,90,6,186,4,0,3,4,2,14,0,0,0,0,180,202,88,172,G,NS,N,3843
13234,97,3,104,5,63,5,69,7,0,91,89,56,52,0,0,0,0,6,15,7,17,G,ON,Y,3016
13236,73,6,77,7,54,5,58,4,0,41,34,32,37,0,0,0,0,32,43,22,21,B,NS,N,4803
13237,27,5,14,5,17,4,21,6,0,13,3,7,6,0,0,0,0,14,11,10,15,B,NS,Y,1255
13238,14,4,17,3,17,4,26,4,0,5,9,12,14,0,0,0,0,9,8,5,12,B,NS,Y,765
13239,107,4,56,3,31,4,68,5,0,79,42,4,25,0,0,0,0,28,14,27,43,G,AB,Y,5918
13240,188,7,117,7,88,7,100,8,1,86,75,77,54,0,0,0,0,102,42,11,46,B,NS,N,65
13241,205,7,200,6,152,8,184,8,0,6,30,25,24,157,107,63,62,42,63,64,98,G,NS,Y,147
13242,23,2,29,2,34,1,29,1,0,21,18,34,29,0,0,0,0,2,11,0,0,B,QC,N,36
13243,117,4,84,5,163,10,48,9,0,57,54,46,4,0,0,0,0,60,30,117,44,B,NS,N,233
13244,25,3,25,2,40,3,38,2,0,6,1,12,15,0,0,0,0,19,24,28,23,B,ON,N,2900
13245,1176,6,242,2,303,2,282,3,1,14,7,0,7,831,235,302,273,331,0,1,2,G,ON,Y,2817
13247,101,4,131,4,163,4,110,5,0,44,61,84,47,0,0,0,0,57,70,79,63,G,ON,N,82
13248,59,1,37,1,70,3,78,1,0,0,0,0,0,0,0,0,0,59,37,70,78,B,ON,N,2811
13249,2910,8,3300,9,2053,8,2975,9,0,54,47,35,47,2525,2849,1820,2415,331,404,198,513,O,ON,N,13688
13250,72,1,34,2,34,3,40,3,0,0,0,0,0,0,0,0,0,72,34,34,40,G,ON,Y,4492
13252,74,4,82,3,140,5,64,4,0,20,17,39,21,0,0,0,0,54,65,101,43,B,ON,Y,745
13253,45,4,109,4,53,3,62,3,0,1,0,2,0,0,0,0,0,44,109,51,62,B,ON,N,5583
13255,74,4,79,7,163,6,87,7,0,27,46,28,46,0,0,0,0,47,33,135,41,B,NS,N,466
13256,105,5,99,6,92,7,91,4,0,56,46,63,42,0,0,0,0,49,53,29,49,B,NS,N,548
13258,96,2,113,3,72,1,93,3,0,2,4,0,1,94,108,72,87,0,1,0,5,B,ON,N,2490
13260,194,4,104,4,282,4,61,2,1,0,1,0,0,0,0,0,0,194,103,282,61,G,QC,N,5659
13261,13,3,14,3,12,2,15,2,0,0,2,3,6,0,0,0,0,13,12,9,9,B,QC,N,281
13264,34,4,43,3,34,4,37,3,0,18,27,20,29,0,0,0,0,16,16,14,8,B,ON,Y,1479
13267,12,1,26,2,27,3,11,1,0,12,24,25,11,0,0,0,0,0,2,2,0,B,QC,N,1519
13269,259,2,223,5,248,2,138,4,0,8,3,4,5,251,202,244,130,0,18,0,3,G,ON,N,11489
13270,89,4,116,4,64,5,81,6,0,32,34,33,52,0,0,0,0,57,82,31,29,B,NS,N,221
13271,95,3,114,5,124,4,88,5,0,25,23,4,17,0,0,0,0,70,91,120,71,B,ON,N,2364
13272,24,2,58,1,115,3,180,3,0,0,0,0,0,20,58,112,174,4,0,3,6,B,QC,N,452
13274,17,2,15,4,14,3,12,2,0,4,6,7,4,0,0,0,0,13,9,7,8,B,QC,Y,140
13275,20,2,43,3,41,2,71,4,0,13,30,33,33,0,0,0,0,7,13,8,38,B,NL,Y,4116
13276,25,2,48,4,67,3,38,3,0,17,35,63,30,0,0,0,0,8,13,4,8,B,QC,Y,680
13277,3280,2,1506,3,1187,2,5471,3,0,1,1,0,1,3279,1502,1182,5468,0,3,5,2,O,SK,Y,13671
13278,222,5,95,8,27,5,29,4,1,142,11,1,11,60,73,19,16,20,11,7,2,G,AB,Y,5551
13279,105,2,123,4,132,6,794,5,0,0,6,0,3,104,106,116,782,1,11,16,9,G,ON,N,5535
13282,27,2,48,3,24,2,32,3,0,14,35,11,19,0,0,0,0,13,13,13,13,B,ON,Y,801
13283,863,5,938,6,1303,5,879,6,0,7,30,17,8,840,881,1258,854,16,27,28,17,G,BC,N,8825
13284,40,4,129,3,74,4,68,3,0,0,0,0,0,0,0,0,0,40,129,74,68,B,ON,N,468
13288,449,5,578,7,422,5,612,6,0,22,42,55,40,378,509,314,505,49,27,53,67,G,ON,Y,2257
13289,129,4,60,3,58,2,75,4,0,1,17,18,20,0,0,0,0,128,43,40,55,B,QC,Y,137
13290,95,1,208,4,104,1,176,3,0,0,0,0,3,95,157,104,164,0,51,0,9,B,BC,Y,352
13291,22,1,45,1,64,1,46,3,0,22,45,64,45,0,0,0,0,0,0,0,1,G,AB,N,9706
13294,66,4,62,5,34,4,37,4,0,13,24,4,14,0,0,0,0,53,38,30,23,B,NL,Y,968
13295,66,2,36,3,18,2,16,2,1,20,17,15,6,0,0,0,0,46,19,3,10,B,AB,N,527
13296,31,6,31,4,34,5,33,4,0,15,18,21,19,0,0,0,0,16,13,13,14,B,ON,N,1307
13297,355,5,342,4,317,4,337,5,0,0,0,1,1,349,326,312,330,6,16,4,6,G,SK,Y,18189
13298,38,2,67,2,46,3,25,3,0,0,0,0,8,0,0,0,0,38,67,46,17,B,ON,Y,391
13299,60,4,27,3,46,4,44,2,0,3,1,5,3,0,0,0,0,57,26,41,41,B,BC,Y,1607
13302,16,4,81,6,12,3,26,4,0,1,2,1,1,0,0,0,0,15,79,11,25,B,ON,N,4090
13303,157,7,132,4,123,2,129,2,0,4,2,0,0,0,0,0,0,153,130,123,129,G,AB,N,1509
13304,447,4,280,6,175,4,388,6,0,12,14,10,12,428,259,159,362,7,7,6,14,G,ON,Y,5976
13305,41,2,39,2,107,2,81,2,0,39,31,27,48,0,0,0,0,2,8,80,33,G,BC,N,3886
13306,56,5,80,5,19,5,66,6,0,0,6,3,6,0,0,0,0,56,74,16,60,B,ON,N,10767
13308,115,4,232,4,444,4,383,3,0,10,25,49,1,102,189,370,377,3,18,25,5,G,ON,N,3325
13310,55,3,62,2,48,3,65,2,0,51,50,38,51,0,0,0,0,4,12,10,14,B,MB,N,683
13313,320,3,270,2,866,4,465,3,0,39,36,26,30,280,234,837,434,1,0,3,1,G,AB,Y,15311
13314,116,3,268,3,120,2,316,6,0,0,2,0,10,102,265,119,303,14,1,1,3,B,SK,N,455
13315,78,2,50,3,22,4,22,3,1,0,0,3,0,68,3,0,4,10,47,19,18,G,QC,N,3115
